row_idx	row_label	col_idx	col_label	similarity
109	java_recusion_wds12	0	java_recusion_ab6512	0.8673073035297537
0	java_recusion_ab6512	110	java_recusion_wl3912	0.5277589357019113
110	java_recusion_wl3912	0	java_recusion_ab6512	0.5277589357019113
0	java_recusion_ab6512	111	java_recusion_xj1112	0.8019913332146293
111	java_recusion_xj1112	0	java_recusion_ab6512	0.8019913332146293
0	java_recusion_ab6512	112	java_recusion_yb1012	0.7004819008055615
112	java_recusion_yb1012	0	java_recusion_ab6512	0.7004819008055615
0	java_recusion_ab6512	113	java_recusion_yh6212	0.8162181815802992
113	java_recusion_yh6212	0	java_recusion_ab6512	0.8162181815802992
0	java_recusion_ab6512	114	java_recusion_yt1109	0.7284148217032507
114	java_recusion_yt1109	0	java_recusion_ab6512	0.7284148217032507
0	java_recusion_ab6512	115	java_recusion_yt2012	0.8155846775687774
115	java_recusion_yt2012	0	java_recusion_ab6512	0.8155846775687774
0	java_recusion_ab6512	116	java_recusion_yz15612	0.7703566684760912
116	java_recusion_yz15612	0	java_recusion_ab6512	0.7703566684760912
0	java_recusion_ab6512	117	java_recusion_zc2112	0.8115241993018292
117	java_recusion_zc2112	0	java_recusion_ab6512	0.8115241993018292
0	java_recusion_ab6512	118	java_recusion_zs2412	0.8359725964836452
118	java_recusion_zs2412	0	java_recusion_ab6512	0.8359725964836452
1	java_recusion_abd112	1	java_recusion_abd112	1.0
1	java_recusion_abd112	2	java_recusion_ac3612	0.9299743706620063
2	java_recusion_ac3612	1	java_recusion_abd112	0.9299743706620063
1	java_recusion_abd112	3	java_recusion_ad4412	0.8963367038835675
3	java_recusion_ad4412	1	java_recusion_abd112	0.8963367038835675
1	java_recusion_abd112	4	java_recusion_aed212	0.9214528454657687
4	java_recusion_aed212	1	java_recusion_abd112	0.9214528454657687
1	java_recusion_abd112	5	java_recusion_afe12	0.8008792578004118
5	java_recusion_afe12	1	java_recusion_abd112	0.8008792578004118
1	java_recusion_abd112	6	java_recusion_aic212	0.7982689129983118
6	java_recusion_aic212	1	java_recusion_abd112	0.7982689129983118
1	java_recusion_abd112	7	java_recusion_ak6012	0.8710869317740687
7	java_recusion_ak6012	1	java_recusion_abd112	0.8710869317740687
1	java_recusion_abd112	8	java_recusion_am4012	0.7625807823122834
8	java_recusion_am4012	1	java_recusion_abd112	0.7625807823122834
1	java_recusion_abd112	9	java_recusion_am6312	0.8042557764546788
9	java_recusion_am6312	1	java_recusion_abd112	0.8042557764546788
1	java_recusion_abd112	10	java_recusion_am8112	0.8160862491779739
10	java_recusion_am8112	1	java_recusion_abd112	0.8160862491779739
1	java_recusion_abd112	11	java_recusion_amv12	0.5839834559583527
11	java_recusion_amv12	1	java_recusion_abd112	0.5839834559583527
1	java_recusion_abd112	12	java_recusion_as13412	0.8996311827732216
12	java_recusion_as13412	1	java_recusion_abd112	0.8996311827732216
1	java_recusion_abd112	13	java_recusion_as4712	0.6258758262662732
13	java_recusion_as4712	1	java_recusion_abd112	0.6258758262662732
1	java_recusion_abd112	14	java_recusion_ash112	0.9270137322383467
14	java_recusion_ash112	1	java_recusion_abd112	0.9270137322383467
1	java_recusion_abd112	15	java_recusion_ba912	0.9243944137725146
15	java_recusion_ba912	1	java_recusion_abd112	0.9243944137725146
1	java_recusion_abd112	16	java_recusion_bjc212	0.925711923380795
16	java_recusion_bjc212	1	java_recusion_abd112	0.925711923380795
1	java_recusion_abd112	17	java_recusion_bl2312	0.6261275552254292
17	java_recusion_bl2312	1	java_recusion_abd112	0.6261275552254292
1	java_recusion_abd112	18	java_recusion_bm1212	0.8851473097200914
18	java_recusion_bm1212	1	java_recusion_abd112	0.8851473097200914
1	java_recusion_abd112	19	java_recusion_bm1912	0.7768399777741066
19	java_recusion_bm1912	1	java_recusion_abd112	0.7768399777741066
1	java_recusion_abd112	20	java_recusion_bms112	0.8982637485500568
20	java_recusion_bms112	1	java_recusion_abd112	0.8982637485500568
1	java_recusion_abd112	21	java_recusion_bp912	0.8712984388042938
